,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,event_type,event_ref,event_pusher_type
7,DeleteEvent,2017-06-03 01:24:29+00:00,28550291,cdown/srt,660663,cdown,,,branch,hp,user
9,DeleteEvent,2017-06-16 18:22:10+00:00,28550291,cdown/srt,660663,cdown,,,branch,perf,user
10,DeleteEvent,2015-03-03 23:47:48+00:00,28550291,cdown/srt,660663,cdown,,,branch,feature/doctest,user
128,DeleteEvent,2017-11-14 22:19:23+00:00,107533067,cjrh/aiorun,480395,cjrh,,,branch,loop-close-optional,user
131,DeleteEvent,2017-03-08 21:43:51+00:00,72066935,cs01/gdbgui,5715368,cs01,,,branch,dev/add-remote-debugging,user
146,DeleteEvent,2017-02-07 23:55:57+00:00,72066935,cs01/gdbgui,5715368,cs01,,,branch,dev/chad/screencast,user
158,DeleteEvent,2016-10-15 23:41:32+00:00,36836292,dme65/pySOT,12738905,dme65,,,branch,travis-CI,user
160,DeleteEvent,2016-11-23 23:49:18+00:00,36836292,dme65/pySOT,12738905,dme65,,,branch,docs,user
281,DeleteEvent,2017-12-07 07:56:53+00:00,9954780,keis/base58,125062,keis,,,branch,pytest,user
443,DeleteEvent,2017-09-06 15:44:06+00:00,68560140,cs01/pygdbmi,5715368,cs01,,,branch,add-flake-8-update-unittests,user
499,DeleteEvent,2018-07-13 19:22:20+00:00,6662075,joke2k/faker,89607,fcurella,,,branch,circleci-20,user
744,DeleteEvent,2016-03-04 15:48:04+00:00,52729310,ymoch/apyori,8799612,ymoch,,,branch,features/refactor,user
745,DeleteEvent,2016-03-01 04:17:15+00:00,52729310,ymoch/apyori,8799612,ymoch,,,branch,release/0.1.0alpha,user
761,DeleteEvent,2017-08-22 13:25:40+00:00,87705200,amanusk/s-tui,10571703,smaorus,,,branch,develmaor,user
903,DeleteEvent,2017-07-27 23:21:50+00:00,23761821,letmaik/rawpy,530988,letmaik,,,branch,mac-wheels,user
936,DeleteEvent,2017-07-06 20:55:24+00:00,16964283,olofk/fusesoc,2194902,olofk,,,branch,fix,user
1009,DeleteEvent,2018-02-05 15:55:46+00:00,80464421,Erotemic/ubelt,3186211,Erotemic,,,branch,add_cmd,user
1035,DeleteEvent,2017-02-28 10:29:43+00:00,65118919,Noctem/aiopogo,1787524,Noctem,,,branch,protobuf_to_dict,user
1294,DeleteEvent,2016-08-16 14:27:16+00:00,48170794,jepegit/cellpy,20041055,torvara,,,branch,test,user
1433,DeleteEvent,2016-06-08 01:38:21+00:00,41076741,sibson/redbeat,125162,sibson,,,branch,fix-tzhandling,user
1523,DeleteEvent,2018-05-27 12:03:15+00:00,7927051,ahawker/crython,178002,ahawker,,,branch,pyup/scheduled-update-2018-05-26,user
1524,DeleteEvent,2018-05-26 12:03:15+00:00,7927051,ahawker/crython,178002,ahawker,,,branch,pyup/scheduled-update-2018-05-25,user
1528,DeleteEvent,2018-07-05 12:03:19+00:00,7927051,ahawker/crython,178002,ahawker,,,branch,pyup/scheduled-update-2018-07-04,user
1529,DeleteEvent,2018-07-04 12:03:21+00:00,7927051,ahawker/crython,178002,ahawker,,,branch,pyup/scheduled-update-2018-07-03,user
1675,DeleteEvent,2018-01-02 22:42:01+00:00,19612641,jaraco/calendra,308610,jaraco,,,tag,0.3.0,user
1723,DeleteEvent,2017-02-22 00:10:33+00:00,27283062,ktbyers/netmiko,899716,ktbyers,,,branch,inline_file_transfer,user
1767,DeleteEvent,2017-05-05 05:46:33+00:00,3852351,meejah/txtorcon,145599,meejah,,,branch,when_closed_when_built,user
1768,DeleteEvent,2017-11-27 04:59:57+00:00,3852351,meejah/txtorcon,145599,meejah,,,branch,issue255-del-routers,user
1946,DeleteEvent,2017-07-24 22:47:25+00:00,48924523,CalebBell/fluids,16520296,CalebBell,,,branch,pyup-pin-pytest-3.0.7,user
1963,DeleteEvent,2016-04-07 00:32:31+00:00,53360638,Lacsap-/4scanner,7145585,Lacsap-,,,branch,issue10,user
2274,DeleteEvent,2017-03-08 00:41:48+00:00,7946956,rm-hull/luma.lcd,305679,thijstriemstra,,,branch,unsupported-platform,user
2332,DeleteEvent,2015-07-30 00:06:38+00:00,17545616,tbielawa/bitmath,33121,tbielawa,,,tag,TAG=1.2.3-3,user
2360,DeleteEvent,2017-09-22 01:05:12+00:00,65270000,wuyue92tree/crwy,7899044,wuyue92tree,,,branch,1.0.4,user
2436,DeleteEvent,2017-10-24 17:16:32+00:00,35655230,adamchainz/patchy,857609,adamchainz,,,branch,upgrade_requirements,user
2472,DeleteEvent,2017-12-30 07:20:23+00:00,115767936,corydodt/Crosscap,121705,corydodt,,,tag,release-0.2.2,user
2494,DeleteEvent,2017-03-08 20:23:12+00:00,58881399,desbma/amg-player,1145175,desbma,,,branch,travis-ci-docker,user
2558,DeleteEvent,2017-08-13 20:10:17+00:00,5934517,dpkp/kafka-python,843444,dpkp,,,branch,leak_z4,user
2559,DeleteEvent,2017-11-04 02:16:44+00:00,5934517,dpkp/kafka-python,483314,jeffwidman,,,branch,add-license-to-wheel,user
2617,DeleteEvent,2015-03-01 06:46:54+00:00,19165491,jacebrowning/yorm,939501,jacebrowning,,,branch,feature/timestamps,user
2647,DeleteEvent,2015-12-08 22:28:33+00:00,46895564,jtpereyda/boofuzz,244969,jtpereyda,,,branch,fix-logger-text-printout,user
2661,DeleteEvent,2017-11-02 21:34:32+00:00,103041554,leonardt/pycoreir,3766436,leonardt,,,branch,dev,user
2722,DeleteEvent,2017-04-08 00:24:00+00:00,85603555,molpopgen/fwdpy11,6416159,molpopgen,,,branch,rtd,user
2739,DeleteEvent,2016-07-31 06:12:18+00:00,23058769,nabla-c0d3/sslyze,1915165,nabla-c0d3,,,branch,dev,user
2825,DeleteEvent,2015-04-17 16:31:13+00:00,25334762,pipermerriam/flex,824194,pipermerriam,,,branch,piper/issue-66-use-json-pointers,user
2831,DeleteEvent,2017-08-15 22:52:44+00:00,28531969,reubano/mezmorize,157864,reubano,,,branch,debugtoolbar,user
2966,DeleteEvent,2018-03-07 17:41:17+00:00,94247908,ariebovenberg/snug,5999858,ariebovenberg,,,branch,docs-fixes,user
2970,DeleteEvent,2017-09-03 15:39:50+00:00,99260344,asottile/all-repos,1810591,asottile,,,branch,test_github,user
3110,DeleteEvent,2015-02-21 20:58:08+00:00,12116802,lavr/python-emails,129239,lavr,,,branch,coveralls,user
3222,DeleteEvent,2017-12-08 11:13:36+00:00,6002572,santoshphilip/eppy,2014885,santoshphilip,,,branch,i30_CustomException,user
3290,DeleteEvent,2016-11-18 13:16:39+00:00,8292338,ultrabug/py3status,56311,tobes,,,branch,flake8-fixes,user
3326,DeleteEvent,2016-07-24 13:16:55+00:00,57005838,vfaronov/httpolice,300211,vfaronov,,,branch,readthedocs,user
3382,DeleteEvent,2016-08-22 03:45:10+00:00,39159799,JoelBender/bacpypes,10273490,JoelBender,,,branch,issue-74,user
3570,DeleteEvent,2018-03-16 02:38:54+00:00,49332088,guykisel/inline-plz,6760519,guykisel,,,branch,giturlparse,user
3571,DeleteEvent,2016-02-11 22:41:22+00:00,49332088,guykisel/inline-plz,6760519,guykisel,,,branch,unpin-deps,user
3622,DeleteEvent,2017-08-28 14:37:26+00:00,24279728,jmvrbanac/alchemize,1307592,jmvrbanac,,,tag,show,user
3634,DeleteEvent,2017-09-19 00:13:38+00:00,62165703,kalaspuff/tomodachi,89139,kalaspuff,,,branch,pyup/update-botocore-1.7.5-to-1.7.12,user
3637,DeleteEvent,2017-06-16 21:37:30+00:00,62165703,kalaspuff/tomodachi,89139,kalaspuff,,,branch,pyup-update-botocore-1.5.52-to-1.5.69,user
3641,DeleteEvent,2017-06-07 00:06:15+00:00,62165703,kalaspuff/tomodachi,89139,kalaspuff,,,branch,pyup-update-botocore-1.5.52-to-1.5.61,user
3673,DeleteEvent,2018-02-06 11:54:02+00:00,67834502,lk-geimfari/mimesis,15812620,lk-geimfari,,,branch,readme_rst,user
3713,DeleteEvent,2017-11-18 15:43:17+00:00,96678616,miyuchina/mistletoe,14964777,miyuchina,,,tag,V0.2.1,user
3864,DeleteEvent,2017-11-08 21:36:53+00:00,15879082,AndrewAnnex/SpiceyPy,2126916,AndrewAnnex,,,branch,crazy_34_fix,user
3879,DeleteEvent,2015-02-08 10:06:18+00:00,8685799,DRMacIver/hypothesis,28623,DRMacIver,,,branch,example_db,user
3925,DeleteEvent,2015-08-30 11:56:05+00:00,39633187,adblair/configloader,3610573,adblair,,,tag,v0.2.1,user
4102,DeleteEvent,2015-10-06 06:29:41+00:00,30912694,kashifrazzaqui/vyked,820105,nerandell,,,branch,bus_retrial_feature,user
4146,DeleteEvent,2018-03-05 22:46:34+00:00,69691394,kragniz/python-etcd3,735008,kragniz,,,branch,pyup-update-hypothesis-3.11.6-to-3.48.0,user
4154,DeleteEvent,2017-05-23 13:00:00+00:00,69691394,kragniz/python-etcd3,735008,kragniz,,,branch,pyup-update-pytest-3.0.7-to-3.1.0,user
4267,DeleteEvent,2015-02-26 06:56:17+00:00,12677403,matheuscas/pycpfcnpj,4574315,matheuscas,,,tag,1.0,user
4288,DeleteEvent,2016-11-30 14:35:30+00:00,6054289,niklasf/python-chess,402777,niklasf,,,branch,0.7.x,user
4339,DeleteEvent,2017-05-20 14:15:39+00:00,79609775,thombashi/allpairspy,15517661,thombashi,,,tag,v2.1.0,user
4377,DeleteEvent,2017-08-21 09:04:31+00:00,75740215,CiaranWelsh/PyCoTools,19502680,CiaranWelsh,,,branch,temp_branch,user
4385,DeleteEvent,2016-12-31 23:10:12+00:00,8557809,FGRibreau/mailchecker,138050,FGRibreau,,,branch,greenkeeper-lodash-4.17.4,user
4404,DeleteEvent,2018-07-19 00:56:32+00:00,69198756,RazerM/sqlalchemy_aio,1337586,RazerM,,,branch,finish-trio-support,user
4463,DeleteEvent,2018-01-13 16:28:44+00:00,57872901,facelessuser/backrefs,1055125,facelessuser,,,branch,spelling-lib,user
4531,DeleteEvent,2016-11-09 01:18:44+00:00,24561828,gunthercox/ChatterBot,2030578,gunthercox,,,branch,django,user
4767,DeleteEvent,2016-03-02 02:33:22+00:00,30582779,warner/magic-wormhole,27146,warner,,,branch,timings,user
4806,DeleteEvent,2017-08-11 22:42:09+00:00,15857755,DenisCarriere/geocoder,490665,ebreton,,,branch,feature_documentation,user
4820,DeleteEvent,2017-09-20 13:35:19+00:00,39780739,adamchainz/pretty-cron,857609,adamchainz,,,branch,setup.py,user
5001,DeleteEvent,2016-01-29 16:47:51+00:00,35341934,svenkreiss/pysparkling,2775078,svenkreiss,,,branch,parallelize-partitions,user
5040,DeleteEvent,2016-09-01 13:51:36+00:00,37814649,HexDecimal/libtcod-cffi,324809,HexDecimal,,,tag,v1.3.1,user
5063,DeleteEvent,2017-03-12 16:31:56+00:00,69878276,Stranger6667/postmarker,1236561,Stranger6667,,,branch,inbound-triggers,user
5082,DeleteEvent,2018-05-26 16:02:06+00:00,30379674,adamchainz/django-mysql,857609,adamchainz,,,branch,fix_removed_warnings,user
5087,DeleteEvent,2018-05-04 18:47:45+00:00,94463832,adamchainz/ec2-metadata,857609,adamchainz,,,branch,upgrade_requirements,user
5176,DeleteEvent,2016-12-17 19:20:47+00:00,36964309,jantman/awslimitchecker,273454,jantman,,,branch,issues/231,user
5257,DeleteEvent,2018-04-25 23:41:20+00:00,12830126,mozillazg/python-pinyin,485054,mozillazg,,,branch,v0.2.0,user
5347,DeleteEvent,2017-02-08 03:58:06+00:00,73903959,urda/django-letsencrypt,1648492,urda,,,branch,release/1.0.8,user
5401,DeleteEvent,2016-09-24 15:34:37+00:00,39631752,adamchainz/nose-randomly,857609,adamchainz,,,branch,upgrade_requirements,user
5515,DeleteEvent,2015-09-21 03:46:58+00:00,1072814,jdunck/python-unicodecsv,10229,jdunck,,,branch,issue39,user
5531,DeleteEvent,2015-08-12 13:48:34+00:00,16474183,matllubos/django-is-core,424409,matllubos,,,branch,dev-readonly-form,user
5555,DeleteEvent,2015-09-07 12:56:52+00:00,3049190,moul/advanced-ssh-config,94029,moul,,,branch,travis-improvements,user
5621,DeleteEvent,2018-03-02 11:28:12+00:00,92439132,vovanbo/aiohttp_json_api,877240,vovanbo,,,branch,pyup-update-aiohttp-2.3.6-to-3.0.5,user
6077,DeleteEvent,2016-07-27 04:04:56+00:00,35990433,kata198/AdvancedHTMLParser,8461115,kata198,,,tag,6.2.1,user
6273,DeleteEvent,2015-05-18 10:04:18+00:00,22785341,Changaco/python-libarchive-c,1581590,Changaco,,,branch,travis-tweaks,user
6299,DeleteEvent,2017-05-13 21:04:22+00:00,85780522,fgmacedo/python-statemachine,281007,fgmacedo,,,branch,pyup-update-pytest-cov-2.4.0-to-2.5.1,user
6332,DeleteEvent,2017-08-31 20:27:48+00:00,19168375,macropin/django-registration,542728,dicato,,,branch,update-changelog,user
6342,DeleteEvent,2017-04-06 15:20:04+00:00,19168375,macropin/django-registration,1144020,joshblum,,,branch,fix-setup,user
6350,DeleteEvent,2018-08-10 13:20:15+00:00,115766314,peterdemin/pip-compile-multi,27856297,dependabot[bot],,,branch,dependabot/pip/tox-3.2.0,user
6373,DeleteEvent,2017-10-18 21:53:34+00:00,78106937,strizhechenko/netutils-linux,3813830,strizhechenko,,,branch,server_info_lsblk_bug,user
6377,DeleteEvent,2017-06-07 18:05:39+00:00,78106937,strizhechenko/netutils-linux,3813830,strizhechenko,,,branch,irqtop-diff-total-fix,user
6441,DeleteEvent,2018-01-17 08:25:59+00:00,4830226,reinout/z3c.dependencychecker,1155680,gforcada,,,branch,gforcada-properties,user
6483,DeleteEvent,2017-03-28 03:21:21+00:00,67903325,MSeifert04/iteration_utilities,14200878,MSeifert04,,,branch,repr_for_functools,user
6484,DeleteEvent,2018-07-19 19:45:33+00:00,67903325,MSeifert04/iteration_utilities,14200878,MSeifert04,,,branch,stashed-stuff,user
6486,DeleteEvent,2018-03-02 10:36:12+00:00,30147887,Pawamoy/django-zxcvbn-password,3999221,Pawamoy,,,branch,pyup-scheduled-update-09-04-2017,user
6553,DeleteEvent,2015-12-14 00:51:12+00:00,39119843,miguelgrinberg/python-socketio,2715854,miguelgrinberg,,,branch,multiple-workers,user
6584,DeleteEvent,2017-03-05 06:16:27+00:00,49422756,chrisjbillington/inotify_simple,1044087,chrisjbillington,,,tag,1.1.0,user
6599,DeleteEvent,2018-07-25 15:34:02+00:00,26947860,facelessuser/pymdown-extensions,27856297,dependabot[bot],,,branch,dependabot/npm_and_yarn/autoprefixer-9.0.1,user
6601,DeleteEvent,2017-06-02 02:06:56+00:00,26947860,facelessuser/pymdown-extensions,1055125,facelessuser,,,branch,Prep-release-3.4.0,user
6630,DeleteEvent,2015-10-28 19:07:10+00:00,2133577,stefankoegl/python-json-pointer,184196,stefankoegl,,,branch,v0.10,user
6738,DeleteEvent,2017-08-10 00:16:30+00:00,87554622,jarshwah/flake8_formatter_abspath,541083,jarshwah,,,branch,pyup-update-pytest-3.1.3-to-3.2.0,user
6777,DeleteEvent,2015-02-24 21:21:04+00:00,17446714,schmijos/html-table-parser-python3,245443,schmijos,,,tag,v0.1.1,user
