,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,event_type,event_ref,event_pusher_type
76,DeleteEvent,2017-06-08 02:35:31+00:00,48198706,dschep/ntfy,667763,dschep,,,branch,mac-travis,user
245,DeleteEvent,2015-01-16 15:12:20+00:00,4576441,kbandla/dpkt,4806709,brifordwylie,,,branch,landscape_tuning,user
423,DeleteEvent,2018-01-31 05:20:00+00:00,55331984,klen/flask-pw,90699,klen,,,branch,pyup-update-pytest-3.2.0-to-3.3.2,user
486,DeleteEvent,2015-06-18 22:30:30+00:00,18342888,CleanCut/green,5838512,CleanCut,,,branch,pypy3,user
612,DeleteEvent,2017-01-03 17:55:39+00:00,15532991,houtianze/bypy,99046,houtianze,,,branch,revert-247-master,user
626,DeleteEvent,2015-05-15 14:19:57+00:00,1426695,jbardin/scp.py,35067,jbardin,,,branch,channel-reuse,user
742,DeleteEvent,2018-07-26 17:25:24+00:00,95423063,SauceCat/PDPbox,25321864,carlosdanielcsantos,,,branch,RTD-requirements,user
747,DeleteEvent,2018-02-19 12:02:18+00:00,7927051,ahawker/crython,178002,ahawker,,,branch,pyup/scheduled-update-2018-02-18,user
762,DeleteEvent,2016-11-08 10:47:38+00:00,37182318,brainix/pottery,1017698,brainix,,,branch,redis-key-conventions,user
1119,DeleteEvent,2016-06-10 11:12:50+00:00,55208383,renskiy/fabricio,3508656,renskiy,,,branch,version_0.2.x,user
1258,DeleteEvent,2017-11-18 23:58:59+00:00,49326093,gpchelkin/scdlbot,920616,gpchelkin,,,branch,pyup-update-pytest-3.2.3-to-3.2.5,user
1295,DeleteEvent,2018-05-23 20:50:46+00:00,94133125,metachris/logzero,116939,metachris,,,branch,pyup-update-pytest-3.4.2-to-3.5.1,user
1695,DeleteEvent,2015-11-07 01:35:56+00:00,30593480,buruzaemon/natto-py,498577,buruzaemon,,,branch,dev-branch,user
1721,DeleteEvent,2018-06-18 21:53:11+00:00,49332088,guykisel/inline-plz,6760519,guykisel,,,branch,guykisel-patch-1,user
1746,DeleteEvent,2017-07-12 21:22:37+00:00,62165703,kalaspuff/tomodachi,89139,kalaspuff,,,branch,pyup/update-botocore-1.5.78-to-1.5.80,user
1753,DeleteEvent,2017-05-25 23:20:57+00:00,62165703,kalaspuff/tomodachi,89139,kalaspuff,,,branch,pyup-update-botocore-1.5.52-to-1.5.55,user
1768,DeleteEvent,2017-10-13 19:03:07+00:00,67834502,lk-geimfari/mimesis,15812620,lk-geimfari,,,branch,updated-data-cs,user
1850,DeleteEvent,2015-02-08 09:57:32+00:00,8685799,DRMacIver/hypothesis,28623,DRMacIver,,,branch,subexamples,user
1860,DeleteEvent,2018-03-18 16:55:36+00:00,59556819,GiulioRossetti/ndlib,13123607,GiulioRossetti,,,branch,pyup-update-matplotlib-2.2.0-to-2.2.2,user
1881,DeleteEvent,2018-02-23 10:23:03+00:00,77309671,arantonitis/nescient,24759293,arantonitis,,,tag,v0.7.3.dev18,user
1946,DeleteEvent,2017-05-13 14:50:22+00:00,90407498,jbasko/configmanager,632910,jbasko,,,branch,feature/composable-config,user
2133,DeleteEvent,2018-08-13 16:02:18+00:00,24219208,LettError/MutatorMath,6939968,anthrotype,,,branch,pyup-scheduled-update-2018-08-06,user
2199,DeleteEvent,2015-02-01 13:36:15+00:00,24561828,gunthercox/ChatterBot,2030578,gunthercox,,,branch,json_format,user
2249,DeleteEvent,2018-01-11 04:42:19+00:00,58094079,orbingol/NURBS-Python,5276943,orbingol,,,tag,v3.0.2,user
2260,DeleteEvent,2018-02-14 11:31:06+00:00,45240797,revesansparole/pkglts,13200498,revesansparole,,,branch,bump_version,user
