,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,issue_id,issue_comment_id,issue_comment_body,issue_comment_reactions,actor_repo_association,actor_type,actor_site_admin_status
4,IssueCommentEvent,2016-07-24 14:28:36+00:00,54391698,jd/pifpaf,2644,jd,,,167186425,234780266,"According to https://git.archlinux.org/svntogit/community.git/tree/trunk/PKGBUILD?h=packages/elasticsearch#n39 the path should be replace by `/etc/elasticsearch` in the script. So it's weird. I don't have any Arch Linux around to debug, but if anyone has time to dig into that…",{},,User,False
5,IssueCommentEvent,2017-02-03 09:37:36+00:00,54391698,jd/pifpaf,2644,jd,,,205104579,277204169,It seems the tests are failing for a good reason.,{},,User,False
8,IssueCommentEvent,2015-11-08 08:39:01+00:00,1673145,FSX/misaka,5211845,ReneFroger,,,113214989,154789551,"Yes, I believe. Thanks to your comment, had to install `python-dev` and `libffi-dev`.",{},,User,False
23,IssueCommentEvent,2015-11-20 14:54:10+00:00,46566669,jaraco/irc,308610,jaraco,,,118057001,158422967,"Sorry, this issue was made by me, didn't realise I wasn't logged in when I created it.

----------------------------------------
Original comment by: Daniel Oaks
",{},,User,False
25,IssueCommentEvent,2015-11-20 14:44:54+00:00,46566669,jaraco/irc,308610,jaraco,,,118055214,158419576,"I've started troubleshooting this. First thing I did was update the scripts to have nicer command-line handling (e42b79ce39ad). After that, I ran the send and receive scripts in separate windows:

```
.\scripts\dccreceive irc.freenode.net irclib_recv
.\scripts\dccsend.py irc.freenode.net irclib_send irclib_recv .\scripts\dccsend.py
```

However, when I did this, I got an error in the sender.

```
Traceback (most recent call last):
  File ""C:\Users\jaraco\projects\irc\scripts\dccsend.py"", line 90, in <module>
    main()
  File ""C:\Users\jaraco\projects\irc\scripts\dccsend.py"", line 87, in main
    c.start()
  File ""C:\Program Files\Python33\lib\site-packages\irc-8.3.1-py3.3.egg\irc\client.py"", line 1211, in start
  File ""C:\Program Files\Python33\lib\site-packages\irc-8.3.1-py3.3.egg\irc\client.py"", line 264, in process_forever
  File ""C:\Program Files\Python33\lib\site-packages\irc-8.3.1-py3.3.egg\irc\client.py"", line 245, in process_once
  File ""C:\Program Files\Python33\lib\site-packages\irc-8.3.1-py3.3.egg\irc\client.py"", line 210, in process_data
  File ""C:\Program Files\Python33\lib\site-packages\irc-8.3.1-py3.3.egg\irc\client.py"", line 1084, in process_data
  File ""C:\Program Files\Python33\lib\site-packages\irc-8.3.1-py3.3.egg\irc\client.py"", line 384, in _handle_event
  File ""C:\Program Files\Python33\lib\site-packages\irc-8.3.1-py3.3.egg\irc\client.py"", line 1174, in _dispatcher
  File ""C:\Users\jaraco\projects\irc\scripts\dccsend.py"", line 39, in on_dcc_connect
    self.send_chunk()
  File ""C:\Users\jaraco\projects\irc\scripts\dccsend.py"", line 62, in send_chunk

    self.dcc.send_bytes(data)
AttributeError: 'DCCConnection' object has no attribute 'send_bytes'
```

So I think I need to tackle that issue next.

----------------------------------------
Original comment by: Jason R. Coombs
",{},,User,False
29,IssueCommentEvent,2017-10-25 08:43:38+00:00,55258005,jopohl/urh,18219846,jopohl,,,268296297,339258800,Could you please upload a sample of  your signal so we can have a deeper look?,{},OWNER,User,False
38,IssueCommentEvent,2017-04-03 13:23:58+00:00,55258005,jopohl/urh,883534,ngmacha,,,218864529,291141337,"Just tested - the sizes of the dialog retains within the URH session, but if I close the URH main window and then relaunch URH, they revert to default big ones.

However... I ran `git clone https://github.com/jopohl/urh --branch restore_geometry` and then ran  main.py from under the src/urh subfolder - is this a correct way to test? Or I have to build it fully?

",{},,User,False
49,IssueCommentEvent,2016-04-15 15:12:50+00:00,18603138,WoLpH/mt940,2354108,coveralls,,,148680950,210500058,"
[![Coverage Status](https://coveralls.io/builds/5803900/badge)](https://coveralls.io/builds/5803900)

Coverage remained the same at 100.0% when pulling **795b09f43e7e46f2fa4f08689949a23f3c86bae7 on benkonrath:update-travis-config** into **03cfe0ad72a6f4a34cbe76de3edb2fc1fdd1731b on WoLpH:develop**.
",{},,User,False
50,IssueCommentEvent,2018-05-10 14:04:55+00:00,18603138,WoLpH/mt940,481062,djalexd,,,321599240,388063350,"hey @WoLpH thanks for your suggestions. I still couldn't make it work with `py.test`, but `tox` worked.  Now all tests are passing. ",{},NONE,User,False
54,IssueCommentEvent,2017-07-14 14:47:18+00:00,31894637,amol-/dukpy,601423,amol-,,,226083900,315378589,"automatic release to PyPi through travis seems a good idea, but I'm a bit concerned by `setuptools_scm`. As it's a `setup_requires` does it mean that every person that installs the package through sources will need it? ",{},,User,False
64,IssueCommentEvent,2018-01-29 17:42:47+00:00,72066935,cs01/gdbgui,5715368,cs01,,,292440844,361325636,"I've never actually tried to open in safari until today, and I was not able to get it to work in the latest version or any version back to 10.0.2.",{},OWNER,User,False
98,IssueCommentEvent,2017-01-07 08:01:04+00:00,6007295,fxsjy/jieba,22110063,xusong123,,,196659499,271069770,"您好，我试了试，还是不行，方便的话我把这个贴上来给您看看
[dict_gai3.txt](https://github.com/fxsjy/jieba/files/691369/dict_gai3.txt)",{},,User,False
117,IssueCommentEvent,2015-12-15 17:21:21+00:00,1258258,gotcha/ipdb,329591,wesm,,,91634097,164832675,"@rbarlow the issue is going the other direction. I would like to see ipdb able to be distributed alongside permissively licensed software (like IPython and Python itself) because it is useful, but the GPL prevents that. ",{},,User,False
121,IssueCommentEvent,2016-09-15 16:44:59+00:00,65468547,jd/tenacity,2644,jd,,,176504221,247383657,"Yeah, I guess we can have both a `reraise` method and make `tenacity` offer to do it via a kwargs. And if there's no exception to reraise, it can still raise a `RetryError` anyhow.",{},,User,False
126,IssueCommentEvent,2018-06-13 17:40:34+00:00,65468547,jd/tenacity,2644,jd,,,330448586,397023982,@immerrr That sounds like a good idea. We can break the compat later in a major release when needed. You can use `debtcollector` to emit a warning as needed.,{},OWNER,User,False
127,IssueCommentEvent,2017-04-25 09:09:05+00:00,65468547,jd/tenacity,527101,heri16,,,223677565,296967952,"We could have a `clone=True` flag in tenacity.Retrying.__init__ that turns on argument checking , (only first-level) during call().
```python
need_cloning = [arg for arg in args if inspect.isgenerator(arg)]
```
Or we cloud have a `clone=[list of kwargs keys]` that avoids the performance penalty of inspect.",{},,User,False
