,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,issue_action,issue_title,issue_labels,issue_assignees,issue_count,issue_body,issue_reactions,issue_reason
18,IssuesEvent,2017-04-28 06:54:19+00:00,2918192,epsy/clize,685865,epsy,,,opened,Parameter post-converters,[],[],0,"Currently Clize converts each Python parameter to a `Parameter` instance by calling a function and using its result:
* Either the first annotation on that parameter if it is a parameter converter,
* or the default converter

This makes it impossible to use `parameters.multi` with `parameters.one_of`, for instance. This is counter-intuitive and also quite unfortunate.

To fix this, the parameter converter should collect callables from the annotations designated as ""post-converters"". Once the parameter converter has completed creating a `Parameter` instance, it should post-process this parameter with each post-converter in order. Each post converters does some changes and returns a `Parameter` instance, much like decorators.

Example post-converters:
- `parameter.one_of`, `parameter.mapped`, (both already existing as parameter converters)
- `argument_decorator`, (already existing as parameter converter)
- Something to change the name of the value in the help (`argparse` calls it metavar)
- `UNDOCUMENTED` and `LAST_OPTION` could be refactored as post-converters.

The documentation will need additional clarification on the roles of parameter converters, post-converters and value converters, possibly with a drawing :)",{},{}
146,IssuesEvent,2017-06-19 01:39:39+00:00,82588597,youfou/wxpy,8017428,zzir,,,opened,部署到linux上，发送群组消息会把错误信息也发送到消息,[],[],0,"是log模块的缘故么？


会一直重复发送：
Resetting dropped connection: wx2.qq.com
connection pool if full, discarding connection: wx2.qq.com",{},{}
188,IssuesEvent,2015-08-10 11:54:48+00:00,10074815,berdario/pew,925560,Lucas-C,,,opened,AttributeError: 'NoneType' object has no attribute 'rfind',[],[],0,"Bug reproduction:
```python
$ pew new -i python-heatclient heat-test
New python executable in heat-test/bin/python2.7
Not overwriting existing python script heat-test/bin/python (you must use heat-test/bin/python2.7)
Installing setuptools, pip, wheel...done.
Collecting python-heatclient
  Using cached python_heatclient-0.6.0-py2.py3-none-any.whl
Collecting oslo.serialization>=1.4.0 (from python-heatclient)
  Using cached oslo.serialization-1.8.0-py2.py3-none-any.whl
Collecting python-swiftclient>=2.2.0 (from python-heatclient)
  Using cached python_swiftclient-2.5.0-py2.py3-none-any.whl
Collecting oslo.i18n>=1.5.0 (from python-heatclient)
  Using cached oslo.i18n-2.3.0-py2.py3-none-any.whl
Collecting pbr<2.0,>=0.11 (from python-heatclient)
  Using cached pbr-1.4.0-py2.py3-none-any.whl
Collecting argparse (from python-heatclient)
  Using cached argparse-1.3.0-py2.py3-none-any.whl
Collecting requests>=2.5.2 (from python-heatclient)
  Using cached requests-2.7.0-py2.py3-none-any.whl
Collecting oslo.utils>=1.4.0 (from python-heatclient)
  Using cached oslo.utils-2.2.0-py2.py3-none-any.whl
Collecting iso8601>=0.1.9 (from python-heatclient)
  Using cached iso8601-0.1.10.tar.gz
Collecting six>=1.9.0 (from python-heatclient)
  Using cached six-1.9.0-py2.py3-none-any.whl
Collecting PyYAML>=3.1.0 (from python-heatclient)
Collecting Babel>=1.3 (from python-heatclient)
  Using cached Babel-2.0.tar.gz
Collecting PrettyTable<0.8,>=0.7 (from python-heatclient)
  Using cached prettytable-0.7.2.tar.bz2
Collecting python-keystoneclient>=1.3.0 (from python-heatclient)
  Using cached python_keystoneclient-1.6.0-py2.py3-none-any.whl
Collecting msgpack-python>=0.4.0 (from oslo.serialization>=1.4.0->python-heatclient)
  Using cached msgpack-python-0.4.6.tar.gz
Collecting pytz>=2013.6 (from oslo.serialization>=1.4.0->python-heatclient)
  Using cached pytz-2015.4-py2.py3-none-any.whl
Collecting futures>=2.1.3 (from python-swiftclient>=2.2.0->python-heatclient)
  Using cached futures-3.0.3-py2-none-any.whl
Collecting monotonic>=0.1 (from oslo.utils>=1.4.0->python-heatclient)
  Using cached monotonic-0.3.tar.gz
Collecting netifaces>=0.10.4 (from oslo.utils>=1.4.0->python-heatclient)
  Using cached netifaces-0.10.4.tar.gz
Collecting netaddr>=0.7.12 (from oslo.utils>=1.4.0->python-heatclient)
  Using cached netaddr-0.7.15-py2.py3-none-any.whl
Collecting debtcollector>=0.3.0 (from oslo.utils>=1.4.0->python-heatclient)
  Using cached debtcollector-0.7.0-py2.py3-none-any.whl
Collecting stevedore>=1.3.0 (from python-keystoneclient>=1.3.0->python-heatclient)
  Using cached stevedore-1.7.0-py2.py3-none-any.whl
Collecting oslo.config>=1.11.0 (from python-keystoneclient>=1.3.0->python-heatclient)
  Using cached oslo.config-2.2.0-py2.py3-none-any.whl
Collecting wrapt>=1.7.0 (from debtcollector>=0.3.0->oslo.utils>=1.4.0->python-heatclient)
  Using cached wrapt-1.10.5.tar.gz
Building wheels for collected packages: iso8601, Babel, PrettyTable, msgpack-python, monotonic, netifaces, wrapt
  Running setup.py bdist_wheel for iso8601
  Stored in directory: /home/lucas_cimon/.cache/pip/wheels/3f/7c/d1/fddaaceaa3ebe55637ccc89faff444d8a6c43011fd593715a5
  Running setup.py bdist_wheel for Babel
  Stored in directory: /home/lucas_cimon/.cache/pip/wheels/15/b9/ae/1b8f9a7c0e6e06a27d0bd8e6de2f3d82292c9b00e5d0a6dd45
  Running setup.py bdist_wheel for PrettyTable
  Stored in directory: /home/lucas_cimon/.cache/pip/wheels/41/46/ec/ec86e65e50e9f4be52547a3bedd46077e7414c53d2ed0418fd
  Running setup.py bdist_wheel for msgpack-python
  Stored in directory: /home/lucas_cimon/.cache/pip/wheels/f3/97/a5/dd6e3b680de10b689464c44bc211239d1fe54bd296ff860897
  Running setup.py bdist_wheel for monotonic
  Stored in directory: /home/lucas_cimon/.cache/pip/wheels/0f/cf/72/297c6d473b3f94a80084ed52548c13bea1acf37ca543961393
  Running setup.py bdist_wheel for netifaces
  Stored in directory: /home/lucas_cimon/.cache/pip/wheels/32/42/e1/c70ed63c260bddfedf2472663153d03a17ee650b512273991d
  Running setup.py bdist_wheel for wrapt
  Stored in directory: /home/lucas_cimon/.cache/pip/wheels/1d/bd/59/f8ec76ecb9134b951bbe216327920b891acc35847024a06b50
Successfully built iso8601 Babel PrettyTable msgpack-python monotonic netifaces wrapt
Installing collected packages: pbr, msgpack-python, monotonic, pytz, Babel, six, oslo.i18n, netifaces, netaddr, wrapt, debtcollector, iso8601, oslo.utils, oslo.serialization, futures, requests, python-swiftclient, argparse, PyYAML, PrettyTable, stevedore, oslo.config, python-keystoneclient, python-heatclient
Successfully installed Babel-2.0 PrettyTable-0.7.2 PyYAML-3.11 argparse-1.3.0 debtcollector-0.7.0 futures-3.0.3 iso8601-0.1.10 monotonic-0.3 msgpack-python-0.4.6 netaddr-0.7.15 netifaces-0.10.4 oslo.config-2.2.0 oslo.i18n-2.3.0 oslo.serialization-1.8.0 oslo.utils-2.2.0 pbr-1.4.0 python-heatclient-0.6.0 python-keystoneclient-1.6.0 python-swiftclient-2.5.0 pytz-2015.4 requests-2.7.0 six-1.9.0 stevedore-1.7.0 wrapt-1.10.5
Traceback (most recent call last):
  File ""<string>"", line 1, in <module>
  File ""/home/lucas_cimon/.local/lib/python2.7/site-packages/pew/pew.py"", line 490, in prevent_path_errors
    if 'VIRTUAL_ENV' in os.environ and not check_path():
  File ""/home/lucas_cimon/.local/lib/python2.7/site-packages/pew/_utils.py"", line 39, in check_path
    return parent(parent(which('python'))) == os.environ['VIRTUAL_ENV']
  File ""/usr/lib/python2.7/posixpath.py"", line 129, in dirname
    i = p.rfind('/') + 1
AttributeError: 'NoneType' object has no attribute 'rfind'

$ pew workon heat-test
Traceback (most recent call last):
  File ""<string>"", line 1, in <module>
  File ""/home/lucas_cimon/.local/lib/python2.7/site-packages/pew/pew.py"", line 490, in prevent_path_errors
    if 'VIRTUAL_ENV' in os.environ and not check_path():
  File ""/home/lucas_cimon/.local/lib/python2.7/site-packages/pew/_utils.py"", line 39, in check_path
    return parent(parent(which('python'))) == os.environ['VIRTUAL_ENV']
  File ""/usr/lib/python2.7/posixpath.py"", line 129, in dirname
    i = p.rfind('/') + 1
AttributeError: 'NoneType' object has no attribute 'rfind'
```

I already tried to `pip2.7 install --user --upgrade pew`.

Some more info (I'm using Cygwin):
```
$ python --version
Python 2.7.9
$ pew version
0.1.14
$ uname -a
CYGWIN_NT-6.3 XXXXXXX 1.7.35(0.287/5/3) 2015-03-04 12:09 x86_64 Cygwin
```",{},{}
191,IssuesEvent,2018-06-11 07:07:23+00:00,34402403,bndr/pipreqs,19487370,corytu,,,closed,Unable to ignore imports in subfolders,[],[],1,"What I am trying to do is the opposite of #106. Let's say this is my tree structure and I want the requirements.txt to have only `pandas`:

```
$ tree
.
├── app.py
├── app1
│   └── app.py

$ cat ./app.py
import pandas

$ cat app1/app.py
import lxml
```

I tried `pipreqs --print --ignore ./app1/ ./` but it still gives me:

```
pandas==0.23.0
lxml==4.2.1
```",{},{}
205,IssuesEvent,2017-01-04 13:02:56+00:00,44054354,dabeaz/curio,350836,dabeaz,,,closed,Optional Cython speedups,[],[],23,"This library is pretty cool. It'd be nice to be able to match the performance of gevent.
What do you say about creating a native extension with Cython to speed the module up?
",{},{}
209,IssuesEvent,2018-01-14 20:03:53+00:00,44054354,dabeaz/curio,701625,Nikratio,,,opened,Clarify documentation of TaskGroups,[],[],0,"From the documentation, it is not clear to me:

- are task groups inherited? I.e., if a task in a group spawns more task, do the end up in the same group?
- are task groups hierarchical? I.e., if a task in a group creates another group, does it become a ""subgroup""?
- It seems that when a task A creates another task B using `curio.spawn`, a cancellation of task A does not affect task B. However, if task A first creates a task group, and then spawns B in that task group, then cancellation of A implies cancellation of B. This seems not just undocumented, but also wrong.

It would be great if this could be clarified in the documentation.",{},{}
219,IssuesEvent,2015-12-22 03:17:53+00:00,5021892,hgrecco/pint,278566,hgrecco,,,closed,Pressure abbreviated unit names are long_underscored_strings,[],[],2,"When trying to print a psi value using `~` I noticed that I would get a really long name.
    >>> import pint
    >>> u = pint.UnitRegistry()
    >>> u.psi
    <Unit('psi')>
    >>> a = 1.11 * u.psi
    >>> format(a)
    '1.11 psi'
    >>> format(a, '~')
    '1.11 pound_force_per_square_inch'


Related issue: https://github.com/hgrecco/pint/issues/243",{},{}
224,IssuesEvent,2018-07-20 03:21:46+00:00,5021892,hgrecco/pint,26634292,bors[bot],,,closed,A check function that's not a decorator,[],[],3,"Is there a way we could implement a check function for stand-alone use, not just for wrapping functions?

```python
>>> from pint import _DEFAULT_REGISTRY
>>> ureg = _DEFAULT_REGISTRY
>>> Q_ = ureg.Quantity
>>> distance = Q_('1 meter')
>>> time = Q_('1 second')
>>> ureg.check(distance, '[length]')
True
>>> ureg.check(time, '[length]')
False
```",{},{}
348,IssuesEvent,2015-09-04 19:32:47+00:00,14900247,skoczen/will,6910470,IT-accusoft,,,closed,Pull the room name from a command sent to Will,[],[],1,"If Will is in multiple rooms on a hipchat server, how can you tell which room a @Will command came from?",{},{}
390,IssuesEvent,2018-08-27 07:52:09+00:00,18313451,dsoprea/PySvn,7789918,EricDoug,,,opened,"when I commit a file name with chinese,but it come out a exeception as follow.",[],[],0,"**'ascii' codec can't decode byte 0xe5 in position 339: ordinal not in range(128)**

I find the error happened because of  ""return stdout.decode().strip('\n').split('\n')"" in the common_base.py of line 39. I wonder if you can make it with my great hopes.",{},{}
