,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,issue_action,issue_title,issue_labels,issue_assignees,issue_count,issue_body,issue_reactions,issue_reason
2,IssuesEvent,2017-12-09 23:27:18+00:00,73567304,ofek/bit,9677399,ofek,,,closed,add to AUTHORS.rst,[],[],0,@teran-mckinney,{},{}
21,IssuesEvent,2018-07-27 13:29:27+00:00,8387179,uiri/toml,170331,cr,,,opened,Parser fails with muti-line literals containing quotes with toml 0.9.4,[],[],0,"The toml parser fails when multi-line literals contain double quote characters.

Simple test case with *toml==0.9.4* on *python 3.7.0*:

```
❯ cat /tmp/Cargo.toml 
[package]
description = """"""hello ""world"" hello""""""

❯ python -c 'import toml ; toml.load(open(""/tmp/Cargo.toml""))'
Traceback (most recent call last):
  File ""<string>"", line 1, in <module>
  File ""venv/lib/python3.7/site-packages/toml.py"", line 108, in load
    return loads(f.read(), _dict)
  File ""venv/lib/python3.7/site-packages/toml.py"", line 373, in loads
    multibackslash)
  File ""venv/lib/python3.7/site-packages/toml.py"", line 478, in _load_line
    value, vtype = _load_value(pair[1], _dict, strictly_valid)
  File ""venv/lib/python3.7/site-packages/toml.py"", line 608, in _load_value
    raise TomlDecodeError(""Stuff after closed string. WTF?"")
toml.TomlDecodeError: Stuff after closed string. WTF?
```",{},{}
29,IssuesEvent,2017-10-19 21:36:28+00:00,69408336,MrOlm/drep,13424205,MrOlm,,,closed,Test_backend folder missing for test_suite.py,[],[],10,"I'm checking to see if dRep installed correctly, so I am running the `test_suite.py` script from the `tests` folder. I get an error:

```
FileNotFoundError: [Errno 2] No such file or directory: '/XXX/XXX/drep/tests/../tests/test_backend/ecoli_wd'
```

Indeed, this isn't in the `tests` folder. Is there a work around to get the test scripts to work?

Thanks.",{},{}
30,IssuesEvent,2017-11-02 13:15:58+00:00,69408336,MrOlm/drep,32110878,Klcross,,,opened,AttributeError: 'module' object has no attribute 'which',[],[],0,"Hello,

I have tried installing dRep by first installing python3 from homebrew, then downloading pip, then downloading mummer and mash and scikit-learn (not this straightforward but ultimately got to this point upon troubleshooting things I seemed to need). 

First I was getting this error at the end of trying to install:
`error: Installed distribution numpy 1.8.0rc1 conflicts with requirement numpy>=1.9.0`

But I believe I overcame this by instead of just using '`python setup.py install`' but by linking to the python in my bin that had the numpy:
`bash-3.2# /usr/bin/python setup.py install`
and it seemed to install successfully. However I also tried to install numpy to python3 since it seemed to be missing by:
`karissas-mbp:~ ikf$ brew install numpy --with-python3 --without-python`

NOW, however, when I try 
`karissas-mbp:dRep ikf$ dRep bonus testDir --check_dependencies`
or 
`karissas-mbp:tests ikf$ python test_suite.py `
I get the same error:
```
Traceback (most recent call last):
  File ""test_suite.py"", line 852, in <module>
    cluster_test()
  File ""test_suite.py"", line 788, in cluster_test
    verifyCluster.run()
  File ""test_suite.py"", line 421, in run
    self.functional_test_3()
  File ""test_suite.py"", line 502, in functional_test_3
    controller.parseArguments(args)
  File ""/Library/Python/2.7/site-packages/drep-1.4.3-py2.7.egg/drep/controller.py"", line 151, in parseArguments
    self.cluster_operation(**vars(args))
  File ""/Library/Python/2.7/site-packages/drep-1.4.3-py2.7.egg/drep/controller.py"", line 56, in cluster_operation
    drep.d_cluster.d_cluster_wrapper(kwargs['work_directory'],**kwargs)
  File ""/Library/Python/2.7/site-packages/drep-1.4.3-py2.7.egg/drep/d_cluster.py"", line 53, in d_cluster_wrapper
    Bdb, data_folder, kwargs = parse_arguments(workDirectory, **kwargs)
  File ""/Library/Python/2.7/site-packages/drep-1.4.3-py2.7.egg/drep/d_cluster.py"", line 297, in parse_arguments
    loc = shutil.which('mash')
AttributeError: 'module' object has no attribute 'which'
```

I have a feeling that it has something to do with my pythons but I cannot seem to figure out how to get around this! 

Thank you for your time in helping me troubleshoot this.
Karissa 

",{},{}
83,IssuesEvent,2017-06-06 09:13:52+00:00,55258005,jopohl/urh,18283204,andynoack,,,opened,"False message ""Selection is empty""","[{'id': 351288958, 'url': 'https://api.github.com/repos/jopohl/urh/labels/bug', 'name': 'bug', 'color': 'ee0701', 'default': True}, {'id': 364821020, 'url': 'https://api.github.com/repos/jopohl/urh/labels/useability', 'name': 'useability', 'color': 'd4c5f9', 'default': False}]","[{'login': 'jopohl', 'id': 18219846, 'avatar_url': 'https://avatars1.githubusercontent.com/u/18219846?v=3', 'gravatar_id': '', 'url': 'https://api.github.com/users/jopohl', 'html_url': 'https://github.com/jopohl', 'followers_url': 'https://api.github.com/users/jopohl/followers', 'following_url': 'https://api.github.com/users/jopohl/following{/other_user}', 'gists_url': 'https://api.github.com/users/jopohl/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/jopohl/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/jopohl/subscriptions', 'organizations_url': 'https://api.github.com/users/jopohl/orgs', 'repos_url': 'https://api.github.com/users/jopohl/repos', 'events_url': 'https://api.github.com/users/jopohl/events{/privacy}', 'received_events_url': 'https://api.github.com/users/jopohl/received_events', 'type': 'User', 'site_admin': False}]",0,"## Expected Behavior
New signal should be created.

## Actual Behavior
Message box ""Selection is empty"" pops up.

## Steps to Reproduce the Problem

  1. Open signal
  2. Create new signal from selection
  3. Create new signal from selection from newly created signal

## Platform Specifications

  - Python Version: 3.6
  - Operating System: Linux
  - Version of URH: latest master
",{},{}
87,IssuesEvent,2018-04-13 22:51:45+00:00,78888191,kislyuk/yq,862013,kislyuk,,,closed,No man entry,[],[],1,"`man yq
No manual entry for yq
`

I would suggest a man entry.",{},{}
97,IssuesEvent,2016-01-18 15:25:53+00:00,49802969,wong2/pick,5284181,iJebus,,,closed,Pip install may be broken?,"[{'url': 'https://api.github.com/repos/wong2/pick/labels/bug', 'name': 'bug', 'color': 'fc2929'}]",[],2,"Hey, I like the idea but I think there may be some issues with the pip installation. Pip successfully completes the install but `from pick import pick` is returning `ImportError: No module named 'pick'`. I'm using Python 3.4 via Anaconda. 

Cloning the repo, the test passes and when running Python from the repo directory, I'm able to import pick. Note that I can't run the basic.py example from the example folder, but it works when moved to the base directory.

So I'm fairly sure it must be an issue with the pip installer. I'm not all that familiar with python packaging otherwise I'd look into it more myself. Thanks for the repo and sorry in advance if I've missed something obvious.

```
pip show pick
---
Metadata-Version: 2.0
Name: pick
Version: 0.3.0
Summary: pick an option in the terminal with a simple GUI
Home-page: https://github.com/wong2/pick
Author: wong2
Author-email: wonderfuly@gmail.com
License: MIT
Location: /home/liam/anaconda3/lib/python3.4/site-packages
Requires: 
```
```
/pick-0.3.0.dist-info> ls
DESCRIPTION.rst  METADATA  metadata.json  pbr.json  RECORD  top_level.txt  WHEEL
```",{},{}
103,IssuesEvent,2018-01-24 13:09:38+00:00,18603138,WoLpH/mt940,1344744,sweh,,,closed,Python 2.7 support?,[],[],2,"Hi there,

under Python2.7 I get the following error:

```
$ virtualenv --python=python2.7 test
$ bin/pip install mt-940
Successfully installed mt-940-4.10.0 pyyaml-3.12
$ bin/pip install enum
Successfully installed enum-0.4.6
$ bin/python
>>> import mt940
Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
  File ""/Users/sweh/dev/test/lib/python2.7/site-packages/mt940/__init__.py"", line 3, in <module>
    from . import tags
  File ""/Users/sweh/dev/test/lib/python2.7/site-packages/mt940/tags.py"", line 369, in <module>
    @enum.unique
AttributeError: 'module' object has no attribute 'unique'
```

`mt-940` does not declare enum as a dependency for Python2.7, so one has to install it by hand (which is not a big deal though).

If you hint me to a solution I could hand over a pull request.

Kind regards,
  Sebastian",{},{}
111,IssuesEvent,2016-07-06 19:13:36+00:00,27924304,cdent/gabbi,34498,cdent,,,closed,Q: Can I regex in response_json_paths values (not keys)?,"[{'url': 'https://api.github.com/repos/cdent/gabbi/labels/enhancement', 'name': 'enhancement', 'color': '84b6eb'}]",[],1,"More for the FAQ perhaps...

I see in the example that regex is possible for headers, but how about for JSONPath (response_json_paths)?

http://gabbi.readthedocs.io/en/latest/example.html?highlight=regular%20expression

http://gabbi.readthedocs.io/en/latest/format.html#response-expectations

A good example is when we contact an endpoint expecting a server-side generated string to appear there (e.g. UUID).  In that case we might want to regex for n characters with some hyphens in predictable places.

Thanks!
P.S.  Re-implementing some existing tests in Gabbi is going VERY quickly compared to dev time with the older suites.  Rock on!",{},{}
114,IssuesEvent,2015-09-28 17:04:06+00:00,27924304,cdent/gabbi,3515,FND,,,closed,group keys in format documentation,[],[],4,"The [Test Format](https://github.com/cdent/gabbi/blob/master/docs/source/format.rst) documentation page currently lists all keys as a lengthy list in seemingly arbitrary order.

This might be more comprehensible (and less daunting) if keys were grouped: metadata (name, description), request parameters, response expectations, settings (verbose, polling) - there might be more.

Also, table layout might improve readability (or scannability) by providing some visual consistency.",{},{}
