,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,pr_id,pr_node_id,pr_title,pr_state,pr_locked,pr_number,pr_body,pr_issue_url,pr_merged_at,pr_closed_at,pr_updated_at,pr_commits,pr_additions,pr_deletions,pr_changed_files,pr_author_association,pr_assignees,pr_requested_reviewers,pr_requested_teams,pr_merged_by_login,pr_merged_by_id,pr_merged_by_type,pr_merged_by_site_admin,pr_label,pr_patch_url,pr_commits_url,partition,commit_list
6,PullRequestEvent,2018-06-29 14:29:48+00:00,138318038,komuw/naz,5163857,komuw,,,198327288,MDExOlB1bGxSZXF1ZXN0MTk4MzI3Mjg4,Dev,closed,False,11,"Thank you for contributing to naz.                    
Every contribution to naz is important to us.                       
You may not know it, but you have just contributed to making the world a more safer and secure place.                         

Contributor offers to license certain software (a “Contribution” or multiple
“Contributions”) to naz, and naz agrees to accept said Contributions,
under the terms of the MIT License.
Contributor understands and agrees that naz shall have the irrevocable and perpetual right to make
and distribute copies of any Contribution, as well as to create and distribute collective works and
derivative works of any Contribution, under the MIT License.


Now,                   

## What(What have you changed?)


## Why(Why did you change it?)

",https://api.github.com/repos/komuw/naz/issues/11,2018-06-29T14:29:47Z,2018-06-29T14:29:47Z,2018-06-29T14:29:47Z,8,30,78,6,OWNER,[],[],[],komuw,5163857.0,User,False,[],https://github.com/komuw/naz/pull/11.patch,https://api.github.com/repos/komuw/naz/pulls/11/commits,295,"['4e58d7d42b7618bd5253dffc1f729db3cf985f05', 'd5b211593b42549bae0f3102f8c8993e350be8f9', '24a43b69d7ebbf85cbfac9c38ef386e2620838f4', '58623ad63d009a0e4b4c755a9b5d564473179e94', '33d797fbdeefa32e1d940485e95cd5c1da43564d', '85595e964f503ee1ee471a7b5a3c4c78b0460cff', 'ac70a535ee5e1be8bddd49395dac78303502797a', 'f6dc1d12613e6d920361ad1fd17e96c828d218ef']"
19,PullRequestEvent,2017-11-29 10:25:23+00:00,55258005,jopohl/urh,18219846,jopohl,,,155300715,,Support continuous send mode for network sdr,open,False,369,,https://api.github.com/repos/jopohl/urh/issues/369,,,2017-11-29T10:25:22Z,2,78,36,5,OWNER,[],[],[],,,,,[],https://github.com/jopohl/urh/pull/369.patch,https://api.github.com/repos/jopohl/urh/pulls/369/commits,295,"['89edde451f69ad9e1c0635414658603b18799e35', '37bbf1fada789d44662a9fb49aa7ae927a8f2977', '74d8f53d7a0c97dbfacd553f182f3ec8d701adf0', 'cbad9e87fe968cc4123e478299f021021a9e7e91', 'c5494b584a333198e6def105ce6837f90c9b6be2', '74ba7fb8968d46178a0fe06ae96521af80f48127', 'e55420966472ee91cac9a7c9fb394daae6f88a3c', '71a42173a95a02366c95584f6b2960d41b75b8a1', '6592266663aed4cf79c8ddd98a859c6eb331f4a7']"
57,PullRequestEvent,2018-02-06 08:06:06+00:00,93209191,cemsbr/yala,16239342,pyup-bot,,,167344092,,Update isort to 4.3.3,open,False,51,"
There's a new version of [isort](https://pypi.python.org/pypi/isort) available.
You are currently using **4.2.15**. I have updated it to **4.3.3**



These links might come in handy:  <a href=""https://pypi.python.org/pypi/isort"">PyPI</a> | <a href=""https://pyup.io/changelogs/isort/"">Changelog</a> | <a href=""https://github.com/timothycrosley/isort"">Repo</a> 



### Changelog
> 
>### 4.3.2

>- Fixed issue 651: Add imports option is broken
>- Fixed issue 662: An error generated by rewriting `.imports` to `. imoprts`



>### 4.3.1

>- Fixed setup.py errors
>- Fixed issue 654: Trailing comma count error
>- Fixed issue 650: Wrong error message displayed



>### 4.3.0

>- Fixed 557: `force_alphabetical_sort` and `force_sort_within_sections` can now be utilized together without extra new lines
>- Fix case-sensitive path existence check in Mac OS X
>- Added `--no-lines-before` for more granular control over section output
>- Fixed 493: Unwanted conversion to Windows line endings
>- Implemented `--version-number` to retrieve just the version number without the isort logo
>- Breaking changes
>    - Python 2.7+ only (dropped 2.6) allowing various code simplifications and improvements.







*Got merge conflicts? Close this PR and delete the branch. I'll create a new PR for you.*

Happy merging! 🤖
",https://api.github.com/repos/cemsbr/yala/issues/51,,,2018-02-06T08:06:05Z,1,1,1,1,CONTRIBUTOR,[],[],[],,,,,[],https://github.com/cemsbr/yala/pull/51.patch,https://api.github.com/repos/cemsbr/yala/pulls/51/commits,295,['48e140d52c2d045183ffabe8a294e75d39eddd52']
58,PullRequestEvent,2018-05-19 14:32:08+00:00,93209191,cemsbr/yala,49481,cemsbr,,,181969294,,Update certifi to 2018.4.16,closed,False,78,"
This PR updates [certifi](https://pypi.org/project/certifi) from **2018.1.18** to **2018.4.16**.



*The bot wasn't able to find a changelog for this release. [Got an idea?](https://github.com/pyupio/changelogs/issues/new)*

<details>
  <summary>Links</summary>
  
  - PyPI: https://pypi.org/project/certifi
  - Homepage: http://certifi.io/
</details>

",https://api.github.com/repos/cemsbr/yala/issues/78,,2018-05-19T14:32:07Z,2018-05-19T14:32:07Z,1,1,1,1,CONTRIBUTOR,[],[],[],,,,,[],https://github.com/cemsbr/yala/pull/78.patch,https://api.github.com/repos/cemsbr/yala/pulls/78/commits,295,['1534c6e2bfa0eb8db819058f466b6f4957330a71']
67,PullRequestEvent,2017-06-27 05:03:32+00:00,72066935,cs01/gdbgui,5715368,cs01,,,127612328,,update installation instructions; add CONTRIBUTING.md file,closed,False,87,,https://api.github.com/repos/cs01/gdbgui/issues/87,2017-06-27T05:03:32Z,2017-06-27T05:03:32Z,2017-06-27T05:03:32Z,1,131,88,2,[],[],[],[],cs01,5715368.0,User,False,[],https://github.com/cs01/gdbgui/pull/87.patch,https://api.github.com/repos/cs01/gdbgui/pulls/87/commits,295,['f853486f717f22fdda3488a7222f1b36b2132016']
124,PullRequestEvent,2015-06-29 13:05:58+00:00,1258258,gotcha/ipdb,2128384,IxDay,,,38771307,,Load IPython configuration into ipdb,open,False,69,"Now load a full IPythonApp in the background in order to retrieve the
configuration and inject it into ipdb.

If an instance of IPython is already running its configuration will be loaded.
If it is an embed shell and no IPythonApp is running, the logic is usually in a
python script and you will have to change the code in order to make it works.",https://api.github.com/repos/gotcha/ipdb/issues/69,,,2015-06-29T13:05:58Z,1,46,26,1,[],[],[],[],,,,,[],https://github.com/gotcha/ipdb/pull/69.patch,https://api.github.com/repos/gotcha/ipdb/pulls/69/commits,295,"['82416ed28ee14759f142f274ac33ea9b01d9f70d', '32ee046d7a91988436f8b5f2aa44b038eeabd941']"
144,PullRequestEvent,2018-03-05 17:57:16+00:00,96523010,komuw/sewer,5163857,komuw,,,172940821,,V2 san,closed,False,76,"Thank you for contributing to sewer.                    
Every contribution to sewer is important to us.                       
You may not know it, but you have just contributed to making the world a more safer and secure place.                         

Contributor offers to license certain software (a “Contribution” or multiple
“Contributions”) to sewer, and sewer agrees to accept said Contributions,
under the terms of the MIT License.
Contributor understands and agrees that sewer shall have the irrevocable and perpetual right to make
and distribute copies of any Contribution, as well as to create and distribute collective works and
derivative works of any Contribution, under the MIT License.


Now,                   

## What(What have you changed?)
- add SAN

## Why(Why did you change it?)

",https://api.github.com/repos/komuw/sewer/issues/76,2018-03-05T17:57:16Z,2018-03-05T17:57:16Z,2018-03-05T17:57:16Z,3,38,28,3,OWNER,[],[],[],komuw,5163857.0,User,False,[],https://github.com/komuw/sewer/pull/76.patch,https://api.github.com/repos/komuw/sewer/pulls/76/commits,295,"['450b69bcf5ee330a9130ec056df3d7877077b1f3', 'd52ee085c6d682474bd2d02d0db5731afea455f6', '8bb2417daa09124deee5ce4cc4d75479eec0e6ae']"
153,PullRequestEvent,2017-02-20 15:57:36+00:00,4946406,mher/flower,2262816,SharangP,,,107033487,,Fix bug in tasks page template,open,False,670,"Previously, the started and received timestamps were swapped, and being
displayed in place of one another. Also, humanize the revoked timestamp.",https://api.github.com/repos/mher/flower/issues/670,,,2017-02-20T15:57:35Z,1,2,2,1,[],[],[],[],,,,,[],https://github.com/mher/flower/pull/670.patch,https://api.github.com/repos/mher/flower/pulls/670/commits,295,['f06014f871f5ccb83c82cece55e1841a9624c37b']
186,PullRequestEvent,2018-02-26 20:15:40+00:00,11737385,Dav1dde/glad,255721,Dav1dde,,,135454197,,CMake: Fix a missing GLAD_GLAPI_EXPORT when building the shared variant,closed,False,111,"When building a shared version of the library, the macro `GLAD_GLAPI_EXPORT` must be defined on the command line in order to actually export all of the functions. This is taken of now.",https://api.github.com/repos/Dav1dde/glad/issues/111,,2018-02-26T20:15:40Z,2018-02-26T20:15:40Z,1,7,0,1,CONTRIBUTOR,[],[],[],,,,,[],https://github.com/Dav1dde/glad/pull/111.patch,https://api.github.com/repos/Dav1dde/glad/pulls/111/commits,295,['43fc13b746d09443d87b9cd9f23d943f395a3b9b']
234,PullRequestEvent,2017-07-12 16:56:51+00:00,6662075,joke2k/faker,89607,fcurella,,,130084709,,Adding an implementation of `local_regon` for pl_PL company provider.,closed,False,554,An extension of REGON.,https://api.github.com/repos/joke2k/faker/issues/554,2017-07-12T16:56:49Z,2017-07-12T16:56:49Z,2017-07-12T16:56:49Z,2,48,1,2,[],[],[],[],fcurella,89607.0,User,False,[],https://github.com/joke2k/faker/pull/554.patch,https://api.github.com/repos/joke2k/faker/pulls/554/commits,295,"['a6334c14235e41e16efb5eb8750764f4ff26b23b', 'ae7608924c38ef33885c91fa5365c1abc48284fd']"
