,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,pr_review_comment_action,pr_review_comment_id,pr_review_comment_commit_id,pr_review_comment_site_admin,pr_review_comment_body,pr_review_comment_author_association,pr_number,pr_review_comment_reactions
167,PullRequestReviewCommentEvent,2018-01-24 14:14:29+00:00,32288304,aleaxit/gmpy,5234427,isuruf,,,created,91187949,5cfeea808a2fc6008119bdd9994ea47ab967db43,False,`lib` should not be prepended to the library name even on windows,CONTRIBUTOR,178,{}
211,PullRequestReviewCommentEvent,2018-02-01 20:18:17+00:00,6662075,joke2k/faker,6241450,ProvoK,,,created,93423281,907b228a2d14074521111c67d40641ebb6ea55da,False,"@swizzard 
Actually, I was questioning about it since i was not sure what would be the best choice. If the generation of the url/email/whatever is too much permissive, a random string could be the same and there would be not the need of faker. However this seems not the case. :)

@fcurella 
got it!

thanks guys :+1: ",NONE,693,{}
352,PullRequestReviewCommentEvent,2016-09-11 01:11:07+00:00,18313451,dsoprea/PySvn,715626,dsoprea,,,created,,f1a972181b37afbc1ff196e1aa21034588991df8,False,This is a lot harder to read without the indentation.,,50,{}
353,PullRequestReviewCommentEvent,2016-09-11 01:08:14+00:00,18313451,dsoprea/PySvn,715626,dsoprea,,,created,,f1a972181b37afbc1ff196e1aa21034588991df8,False,"I prefer:

```
diff.append({
    'path': ..,
    'item': ..,
})
```",,50,{}
413,PullRequestReviewCommentEvent,2018-05-11 12:11:15+00:00,19384977,peplin/pygatt,352649,yawor,,,created,119411198,14ca041c1606f2e713224bbe8320c28d69bcb1c2,False,There's no `self.DEVICE_INTERFACE`. It should be `self._dbus.DEVICE_INTERFACE`.,NONE,95,{}
487,PullRequestReviewCommentEvent,2018-03-15 04:32:45+00:00,17066884,binux/pyspider,646451,binux,,,created,104072856,cbfdb05ac6d3e207cba20093108c3cbcc2d9e5ae,False,Will it re-index if the field has indexed before?,OWNER,754,{}
551,PullRequestReviewCommentEvent,2017-06-28 13:50:26+00:00,16331291,davisking/dlib,6259399,davisking,,,created,46842696,355bcb6d457f5a980c508b83b5e0c650fdbf11bf,False,You shouldn't allocate tensors here.  That will make the solver run much slower as GPU allocation overhead is very significant.  Why can't pad.backward() be written so that it doesn't need this temporary here?  ,,663,{}
621,PullRequestReviewCommentEvent,2015-05-05 04:51:56+00:00,1408162,jpadilla/pyjwt,578872,mindw,,,created,,06b7414bf4d0ffe75490115eacc3575e19cc090e,False,"We don't. I'll revert it.
",,153,{}
646,PullRequestReviewCommentEvent,2018-08-30 07:02:09+00:00,45875786,nschloe/meshio,1588947,gdmcbain,,,created,150859921,ecebda9c622789b4c4e5a4aeb178093b7a6c6afc,False,"I liked the dict-lookup but no:
```
                     {c_float: 1,
>                     c_double: 2}[mesh.points.dtype])
E           KeyError: dtype('float64')
```
so I went with the `if`-`else`; I guess getitem uses a different kind of equality than `==`.",CONTRIBUTOR,292,{}
738,PullRequestReviewCommentEvent,2017-08-10 16:30:05+00:00,72015621,antocuni/capnpy,344507,antocuni,,,created,55581391,6d48b1b9ffce62b2bfe90178a217fb8a65247c82,False,"since we use this logic twice, maybe we can put it at top-level and save the result in a constant",,17,{}
