,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,pr_review_comment_action,pr_review_comment_id,pr_review_comment_commit_id,pr_review_comment_site_admin,pr_review_comment_body,pr_review_comment_author_association,pr_number,pr_review_comment_reactions
45,PullRequestReviewCommentEvent,2017-07-08 16:02:53+00:00,65411376,lacava/few,23729965,rgupta90,,,created,48759095,75ccde7dfb1b05c1e883b8330f3a76b561715f70,False,will do,,29,{}
399,PullRequestReviewCommentEvent,2016-12-01 21:42:08+00:00,23242753,c-w/Gutenberg,1086421,c-w,,,created,11063428,0b5155962532848c11bc61e1da2f30a3d9f938d7,False,"Nit: we don't need the `_ for _ in` anymore. We can just initialize the set directly. I love that this commit is super clean (just remove the references to `u`), so this would be a good fix in a second commit.",,60,{}
418,PullRequestReviewCommentEvent,2018-05-27 22:12:22+00:00,27279174,garnaat/kappa,4168121,n3il,,,created,123596849,1225627095dbb25130ea54d5481083602fd7be1f,False,"This could instead use the Arn since it's already a uuid, no?

So in `_get_notification_spec`,
```
notification_spec = {
    'Id': self._make_notification_id(function.arn),
    'Events': [e for e in self._config['events']],
    'LambdaFunctionArn': function.arn,
}
```
",NONE,120,{}
499,PullRequestReviewCommentEvent,2017-07-04 21:10:01+00:00,15938073,JelteF/PyLaTeX,1162278,JelteF,,,created,47925984,c75615e38bae1e3fab58e92b81b7e23ce8dcca2c,False,should say `handle` instead of `handler` (or argument should be named handler),,180,{}
504,PullRequestReviewCommentEvent,2016-08-24 18:34:56+00:00,15938073,JelteF/PyLaTeX,1162278,JelteF,,,created,,56e24bc298419d37a9dc690f46d61d8074b576e1,False,"Why did you export this? It should not be used outside of the library. Did you need it for something, because that might function be useful to add to the utils then.",,126,{}
631,PullRequestReviewCommentEvent,2018-03-19 19:43:07+00:00,94022519,gregoil/rotest,29352269,gregoil,,,created,105110862,9ff07889c9677a436aed805d02cad6ffd29a8a93,False,"it should be, if it wouldn't be then it might not fail as much (only 1 time)",OWNER,39,{}
708,PullRequestReviewCommentEvent,2016-03-29 10:20:58+00:00,50450913,peterbe/hashin,26739,peterbe,,,created,,d07d0f527c70af4f75955ac7f4dfc460841603d5,False,"This breakout seems an afterthought. I'd much prefer if it was like this instead:
```python
if python_versions:
    releases = filter_releases(releases)
```",,14,{}
772,PullRequestReviewCommentEvent,2016-10-18 14:30:08+00:00,56257335,Rambatino/CHAID,3631109,Rambatino,,,created,4676194,e354e5d9f94a2478fb9b7250050884a9caeda792,False,what's this?,,45,{}
781,PullRequestReviewCommentEvent,2016-05-31 09:52:45+00:00,10027254,benhoyt/scandir,411294,prashanthpai,,,created,,b2d44973b51d4f74b10886b64789a37913723929,False,Was hoping it will be like a utility method that future tests can also use. Removed it as it didn't do much. Also added the check for win32.,,62,{}
827,PullRequestReviewCommentEvent,2015-01-19 19:37:38+00:00,10632220,harvimt/quamash,119106,harvimt,,,created,,09586b3bf24dd04ceca38988c285cf1b8d023634,False,"_QThreadWorker has to inherit from QThread. This is how Qt is designed. Or maybe I misunderstand?

Or do you mean something like:

```python
class QThreadHelper(qthread_class):
    def run(self):
        # stuff
worker = QThreadWorker(QThreadHelper())
```

Or the other way around might be more clean

```python
class QThreadHelper(qthread_class):
    def __init__(self, worker):
        self.worker = worker
    def run(self, *a, **kw):
        self.worker.run(*a, **kw)
```",,29,{}
